no,n,interval,root,bisect_fallback,bisection,regula_falsi,abkk,barycentric,zhang,ridders,illinois,blendtf,itp,bdqrf,rbp,pegasus,toms748,brent,brentq,anderson_bjorck,brenth,muller,modab,chandrupatla
52,,"[-1e10,1e10]",2.000000000000000E+00,regula_falsi;rbp,46,1046,86,97,86,77,175,67,48,83,2046,204,148,128,128,133,128,158,46,48
53,,"[-1,4]",0.000000000000000E+00,regula_falsi;rbp,8,1008,15,18,15,11,60,12,5,13,2008,81,23,18,18,51,18,29,8,8
54,,"[-10,100]",0.000000000000000E+00,regula_falsi,12,1012,22,52,22,19,97,21,13,25,25,132,38,35,35,79,35,50,12,12
55,,"[-1,4]",0.000000000000000E+00,regula_falsi;rbp,6,1006,9,12,9,9,82,7,4,9,2006,103,7,12,12,53,12,39,6,6
56,,"[-10,100]",0.000000000000000E+00,regula_falsi,10,1010,16,37,16,11,146,15,9,17,15,195,30,26,26,115,26,99,10,10
57,,"[-1,4]",0.000000000000000E+00,regula_falsi,6,1006,7,3,9,4,44,6,5,4,4,63,15,12,12,46,12,4,9,8
58,,"[-10,100]",0.000000000000000E+00,,10,3,4,8,4,4,3,5,9,4,4,3,3,3,3,3,3,4,4,4
59,,"[2e-4,2]",1.037536033287040E+00,regula_falsi,47,1047,18,70,12,14,25,23,20,14,14,22,15,10,10,10,11,9,9,11
60,,"[2e-4,81]",1.037536033287040E+00,regula_falsi,52,1052,24,54,21,26,30,35,25,26,26,27,30,18,18,14,16,15,16,15
61,,"[2e-4,1]",7.032048403631358E-01,,46,20,18,26,12,10,10,26,9,10,8,8,8,8,8,8,8,8,8,8
62,,"[2e-4,81]",7.032048403631358E-01,regula_falsi,53,1053,30,27,20,16,36,38,15,22,17,109,31,21,21,112,21,35,15,14
63,,"[0,1.5]",1.365230013414097E+00,,46,16,18,22,15,20,10,23,9,10,10,8,8,8,8,8,8,8,9,9
64,,"[-2,-1]",-1.404491648215341E+00,,45,33,16,22,14,12,11,23,9,10,8,9,9,9,9,9,9,7,9,8
65,,"[1,2.1]",2.000000000000000E+00,,45,28,20,32,18,10,12,29,15,12,10,10,10,10,10,10,10,9,10,10
66,,"[-0.9,-0.1]",-6.032319715572152E-01,,44,24,20,35,15,12,11,23,13,12,8,9,13,9,9,9,9,8,10,9
67,,"[1,3.1]",3.000000000000000E+00,,45,62,24,56,17,14,15,32,47,14,18,14,14,12,12,19,12,14,13,12
68,,"[1,2.1]",1.857183860207835E+00,,45,46,18,25,14,10,9,23,8,10,9,9,8,8,8,8,8,8,9,8
69,,"[0.1001,10.0001]",1.000000000000000E+00,,49,181,24,43,20,18,14,29,12,6,6,12,10,13,13,12,12,7,11,11
70,,"[0.1001,10.0001]",1.001861868329829E+00,regula_falsi,49,1049,24,25,20,18,14,26,14,8,6,12,10,14,14,13,13,7,11,11
71,,"[-2.0001,1.0001]",0.000000000000000E+00,,51,3,4,5,4,4,3,5,10,4,4,3,3,3,3,3,3,4,4,4
72,,"[-0.0001,1.0001]",0.000000000000000E+00,,50,3,4,20,4,4,3,5,7,4,4,3,3,3,3,3,3,4,4,4
73,,"[0,5]",1.465571231876768E+00,regula_falsi,47,1047,24,45,16,16,16,29,11,14,14,13,10,12,12,14,12,11,11,11
74,,"[0,8]",5.027524662842932E+00,regula_falsi,46,1046,88,43,27,14,16,32,16,18,40,15,13,13,13,15,12,12,12,13
75,,"[-5,-3]",-3.543760948752259E+00,regula_falsi,45,1045,20,47,16,16,15,32,17,14,20,14,11,13,13,15,12,47,11,12
76,,"[-3,-2]",-2.270187160858125E+00,,45,13,86,56,14,14,13,83,19,14,14,11,9,9,9,11,9,32,9,10
77,,"[-2,0]",-2.064655449102364E-01,,49,21,18,32,18,16,12,29,11,10,10,11,8,10,10,10,9,10,10,9
78,,"[0,9]",6.020413654520620E+00,regula_falsi,46,1046,86,50,21,18,22,89,12,14,14,22,12,14,13,23,13,54,12,12
79,,"[0,2]",1.189383607682853E+00,,46,62,18,47,16,18,13,32,11,12,12,11,9,12,12,12,11,11,12,12
80,,"[2,4]",3.425451585182643E+00,,45,10,16,53,14,14,11,26,10,16,14,9,8,8,8,9,8,10,9,10
81,,"[4,8]",6.574548414817357E+00,,45,14,16,51,16,12,10,32,12,14,14,9,11,10,10,9,10,11,11,13
82,,"[8,9]",8.810616392317147E+00,,43,21,20,30,16,14,11,35,13,14,12,10,9,9,9,10,9,10,10,10
83,,"[0,3]",1.255422871076846E+00,regula_falsi,47,1047,22,42,19,12,24,32,48,16,16,22,20,14,14,22,14,12,12,12
84,,"[-5,0]",-1.392626130596842E+00,regula_falsi,48,1048,26,38,23,16,32,38,15,22,20,30,12,18,18,94,16,15,15,15
85,,"[0,5]",3.000192823760851E+00,regula_falsi,46,1046,26,48,15,22,41,80,15,22,40,40,19,15,15,41,16,20,13,14
